time,HD_S14,HD_S13,HD_S11,HD_S12,HD_S10,HD_S16,HD_S15,HD_S17,HD_S8,HD_S4,HD_S5,HD_S6,HD_S3,HD_S7,HD_S2,HD_S1,HD_S18,HD_S19,HD_S20,HD_S9
22.00000000000,20.86755275,21.61559151,22.08416897,22.19859035,25.36108567,20.41335907,17.31465335,14.32153961,29.13414644,33.58618229,33.19373256,32.87129275,34.11990432,31.15197453,36.72472475,38.55476382,13.50528446,13.11390840,9.199702105,40.60714066
23.00000000000,20.82173215,21.56301423,22.00400382,22.12919690,25.11318904,20.32618454,17.28861193,14.32198588,29.11154373,33.80309842,33.35633770,32.97664559,34.40819238,31.16512408,36.98589565,38.68403672,13.51793826,13.13954613,9.331654806,40.58784702
24.00000000000,20.80029206,21.54590076,21.99393176,22.11659078,25.15740237,20.27700402,17.23140659,14.25670243,29.09216775,33.76122802,33.32408531,32.95801462,34.35143975,31.14779275,36.88147287,38.51211896,13.45698759,13.08097351,9.268804861,40.56578588
25.00000000000,20.81071830,21.55577067,22.00350273,22.12597707,25.19087800,20.29618150,17.25271506,14.28237687,29.09697915,33.76619204,33.33172990,32.96939743,34.35457940,31.15185624,36.87531024,38.49433831,13.48287090,13.10792250,9.310738130,40.56718833
26.00000000000,21.01418091,21.87328260,23.40171852,23.00276040,26.32011458,20.54067599,17.36736431,14.37048027,29.11157869,33.78373972,33.34871969,32.98597744,34.37283643,31.16265834,36.89457740,38.51133044,13.56311485,13.18269270,9.384039362,40.57167899
27.00000000000,21.06667383,21.92084259,23.44611174,23.04786853,26.36146138,20.64963783,17.47288359,14.48007958,29.15364420,33.83782427,33.39381552,33.02280851,34.42205327,31.19636288,36.96275671,38.56790932,13.66220258,13.27416930,9.453554010,40.58440523
28.00000000000,21.08066673,21.93397060,23.45490662,23.05719854,26.42525172,20.68158055,17.49289535,14.50255774,29.15466365,33.85808002,33.42106704,33.05481095,34.45690654,31.20037288,36.98396284,38.60426927,13.68384356,13.29541312,9.484640987,40.58609419
29.00000000000,21.03053010,21.89129099,23.42743450,23.02464482,26.44116192,20.57552259,17.37983166,14.37911307,29.11290371,33.79663539,33.36395345,33.00196547,34.39454167,31.16534582,36.91422321,38.54535221,13.56974062,13.18758155,9.380193911,40.57294072
30.00000000000,21.19218953,22.05951996,23.92880953,23.35231217,26.80361069,20.82244641,17.84655250,15.02907164,29.12544887,33.83364567,33.39540773,33.02389734,34.44837467,31.17811637,36.99706883,38.68060745,14.29900811,13.67769667,9.275256565,40.56866609
31.00000000000,21.19433580,22.06349013,23.93644958,23.35874539,26.83519350,20.82802626,17.83158375,14.99981050,29.12748639,33.83977123,33.40128448,33.02899912,34.45733749,31.18014739,37.00810006,38.69680747,14.26481205,13.63643765,9.161904185,40.57001220
32.00000000000,21.16239928,22.03395916,23.91580430,23.33533119,26.77132401,20.75690023,17.78369758,14.95062632,29.10230073,33.79924774,33.35618741,32.97832658,34.41245764,31.15845884,36.97909451,38.68513942,14.22327381,13.60096589,9.154579057,40.55569507
33.00000000000,21.21682589,22.08275755,23.94779692,23.37183304,26.89264594,20.87072852,17.89170101,15.08902641,29.13267294,33.87307097,33.43991265,33.06934043,34.51063386,31.18890593,37.05629084,38.77558512,14.35738315,13.73651455,9.369396449,40.56139815
34.00000000000,20.95725535,21.66917482,22.07933328,22.20759556,25.35145768,20.55909475,17.79660717,15.03744092,29.11085563,33.83664136,33.39852563,33.02353522,34.46611741,31.17060975,37.02570643,38.75009995,14.31629954,13.70361862,9.373122236,40.54947635
35.00000000000,20.99482558,21.70047883,22.08879354,22.22409846,25.33060587,20.64691889,17.86673689,15.11638407,29.14320235,33.89377063,33.46273106,33.09551027,34.53305767,31.19935701,37.07154801,38.78066443,14.38753081,13.76983940,9.436278185,40.56307837
36.00000000000,20.96740287,21.67483518,22.06576652,22.19995418,25.33172954,20.58645240,17.82346658,15.07435000,29.11416018,33.84696622,33.42110442,33.05996644,34.48077130,31.17491722,37.00326874,38.70178629,14.35318309,13.74155967,9.441536400,40.54475578
37.00000000000,20.96948172,21.67414111,22.06242557,22.19905718,25.18654158,20.59422667,17.84451929,15.09696273,29.13264759,33.85167182,33.40999420,33.03441197,34.46661599,31.18680494,37.02464750,38.71082487,14.37190242,13.75792759,9.444045305,40.54636344
38.00000000000,21.21105469,22.11810136,24.33760547,23.59095158,27.02443826,20.81325447,17.76513604,14.90054150,29.09491668,33.55948798,33.17130129,32.84708665,34.11809882,31.12316206,36.72861291,38.62764575,14.17372673,13.55548610,9.447271033,40.56027551
39.00000000000,21.21799631,22.12967692,24.36823123,23.61480258,27.21292005,20.82354753,17.75202116,14.87512185,29.10042299,33.56450504,33.17739705,32.85473209,34.12476502,31.12684543,36.73789649,38.64218247,14.14531180,13.52261146,9.366205693,40.55953460
